filename
D:\luna16\LUNA 2016\segmentation\Mask/6_0
D:\luna16\LUNA 2016\segmentation\Mask/6_1
D:\luna16\LUNA 2016\segmentation\Mask/6_2
D:\luna16\LUNA 2016\segmentation\Mask/6_3
D:\luna16\LUNA 2016\segmentation\Mask/6_4
D:\luna16\LUNA 2016\segmentation\Mask/6_5
D:\luna16\LUNA 2016\segmentation\Mask/6_6
D:\luna16\LUNA 2016\segmentation\Mask/6_7
D:\luna16\LUNA 2016\segmentation\Mask/6_8
D:\luna16\LUNA 2016\segmentation\Mask/6_9
D:\luna16\LUNA 2016\segmentation\Mask/6_10
D:\luna16\LUNA 2016\segmentation\Mask/6_11
D:\luna16\LUNA 2016\segmentation\Mask/6_12
D:\luna16\LUNA 2016\segmentation\Mask/6_13
D:\luna16\LUNA 2016\segmentation\Mask/6_14
D:\luna16\LUNA 2016\segmentation\Mask/6_15
D:\luna16\LUNA 2016\segmentation\Mask/6_16
D:\luna16\LUNA 2016\segmentation\Mask/6_17
D:\luna16\LUNA 2016\segmentation\Mask/6_18
D:\luna16\LUNA 2016\segmentation\Mask/6_19
D:\luna16\LUNA 2016\segmentation\Mask/6_20
D:\luna16\LUNA 2016\segmentation\Mask/6_21
D:\luna16\LUNA 2016\segmentation\Mask/6_22
D:\luna16\LUNA 2016\segmentation\Mask/6_23
D:\luna16\LUNA 2016\segmentation\Mask/6_24
D:\luna16\LUNA 2016\segmentation\Mask/6_25
D:\luna16\LUNA 2016\segmentation\Mask/6_26
D:\luna16\LUNA 2016\segmentation\Mask/6_27
D:\luna16\LUNA 2016\segmentation\Mask/6_28
D:\luna16\LUNA 2016\segmentation\Mask/6_29
D:\luna16\LUNA 2016\segmentation\Mask/6_30
D:\luna16\LUNA 2016\segmentation\Mask/6_31
D:\luna16\LUNA 2016\segmentation\Mask/6_32
D:\luna16\LUNA 2016\segmentation\Mask/6_33
D:\luna16\LUNA 2016\segmentation\Mask/6_34
D:\luna16\LUNA 2016\segmentation\Mask/6_35
D:\luna16\LUNA 2016\segmentation\Mask/6_36
D:\luna16\LUNA 2016\segmentation\Mask/6_37
D:\luna16\LUNA 2016\segmentation\Mask/6_38
D:\luna16\LUNA 2016\segmentation\Mask/6_39
D:\luna16\LUNA 2016\segmentation\Mask/6_40
D:\luna16\LUNA 2016\segmentation\Mask/6_41
D:\luna16\LUNA 2016\segmentation\Mask/6_42
D:\luna16\LUNA 2016\segmentation\Mask/6_43
D:\luna16\LUNA 2016\segmentation\Mask/6_44
D:\luna16\LUNA 2016\segmentation\Mask/6_45
D:\luna16\LUNA 2016\segmentation\Mask/6_46
D:\luna16\LUNA 2016\segmentation\Mask/6_47
D:\luna16\LUNA 2016\segmentation\Mask/6_48
D:\luna16\LUNA 2016\segmentation\Mask/6_49
D:\luna16\LUNA 2016\segmentation\Mask/6_50
D:\luna16\LUNA 2016\segmentation\Mask/6_51
D:\luna16\LUNA 2016\segmentation\Mask/6_52
D:\luna16\LUNA 2016\segmentation\Mask/6_53
